Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1911,15.64,11.50,21.50,10.22,8.21,14.73,15.86,11.60,8.89,15.02,22.19,17.49,17.33,21.10,14.76,8.29,16.21,11.57,10.82,12.67,16.12,21.45,11.64,7.89,15.65,7.39,8.75,14.34,9.26,15.73
1912,16.69,13.01,22.48,11.36,10.04,15.79,16.84,13.40,10.49,16.01,22.89,18.72,18.03,22.25,15.85,10.05,17.87,12.86,12.23,14.18,17.31,21.90,13.14,9.70,16.59,9.21,10.58,15.67,10.97,17.08
1913,16.49,12.48,22.28,11.15,9.58,15.66,16.66,12.98,10.03,15.95,22.74,18.28,17.91,21.97,15.66,9.50,17.57,12.47,11.88,13.93,17.22,21.70,12.83,9.21,16.48,8.72,10.16,15.64,10.54,16.79
1914,17.05,13.05,22.87,11.71,10.15,16.19,17.24,13.61,10.63,16.65,23.18,18.81,18.39,22.55,16.23,10.12,18.18,13.02,12.43,14.55,17.84,21.98,13.41,9.80,17.06,9.35,10.74,16.27,11.17,17.34
1915,17.44,13.30,23.19,12.10,10.49,16.58,17.64,13.99,10.91,17.24,23.46,19.05,18.76,22.86,16.59,10.40,18.60,13.30,12.76,14.97,18.29,22.19,13.81,10.11,17.50,9.69,11.09,16.80,11.52,17.70
1916,16.55,13.06,22.79,11.42,10.13,15.67,17.03,13.25,10.45,15.48,23.10,18.84,17.92,22.44,16.00,10.05,17.65,12.92,12.16,13.91,16.93,21.69,12.92,9.86,16.43,9.12,10.58,15.24,10.86,16.94
1917,17.06,13.35,22.98,11.83,10.61,16.20,17.34,13.88,10.87,16.38,23.27,19.06,18.36,22.70,16.32,10.46,18.34,13.23,12.60,14.58,17.69,21.87,13.52,10.24,17.00,9.64,11.17,16.11,11.41,17.46
1918,16.47,12.89,22.61,11.13,9.91,15.50,16.92,13.14,10.32,15.48,23.02,18.60,18.00,22.10,15.72,9.88,17.52,12.69,12.00,13.75,16.82,21.67,12.78,9.62,16.41,8.99,10.42,15.12,10.72,16.82
1919,16.88,13.09,23.26,11.73,10.27,16.03,17.52,13.48,10.58,15.94,23.46,18.89,18.34,22.67,16.36,10.13,17.94,13.05,12.35,14.22,17.36,21.80,13.18,9.90,16.90,9.29,10.82,15.67,11.04,17.18
1920,16.15,12.42,22.94,11.23,8.80,15.39,17.10,12.38,9.90,14.71,23.21,18.33,17.85,22.26,15.96,9.17,16.88,12.43,11.71,13.33,16.32,21.67,12.52,8.49,16.25,8.25,9.38,14.38,10.24,16.53
1921,16.62,12.48,23.23,11.54,9.22,15.83,17.47,12.63,9.98,15.67,23.46,18.47,18.27,22.48,16.28,9.33,17.22,12.62,11.89,13.69,17.04,21.95,12.70,8.87,16.78,8.45,9.79,15.23,10.36,16.78
1922,17.19,13.34,23.36,12.02,10.44,16.36,17.66,13.81,10.88,16.53,23.54,19.13,18.54,22.92,16.60,10.40,18.31,13.31,12.67,14.61,17.82,22.02,13.56,10.09,17.21,9.58,11.00,16.21,11.38,17.53
1923,16.57,13.07,22.84,11.49,10.34,15.72,17.04,13.43,10.50,15.43,23.11,18.84,17.90,22.49,16.06,10.12,17.78,12.95,12.22,13.98,17.00,21.63,13.00,10.03,16.44,9.24,10.85,15.37,10.93,17.00
1924,16.84,13.28,23.65,11.86,10.17,15.99,17.72,13.38,10.70,15.66,23.67,19.13,18.24,22.97,16.59,10.25,17.75,13.23,12.40,14.03,17.15,21.83,13.09,9.86,16.79,9.31,10.66,15.37,11.02,17.16
1925,16.96,13.15,22.76,11.66,10.34,16.09,17.16,13.66,10.68,16.39,23.14,18.84,18.29,22.48,16.14,10.20,18.17,13.02,12.44,14.45,17.66,21.93,13.37,9.95,16.93,9.43,10.91,16.12,11.19,17.31
1926,16.79,12.92,23.05,11.56,9.87,15.90,17.32,13.20,10.40,16.00,23.32,18.76,18.26,22.51,16.18,9.89,17.71,12.90,12.19,14.06,17.30,21.90,13.03,9.57,16.80,9.02,10.41,15.64,10.83,17.04
1927,16.85,12.95,23.21,11.67,9.88,16.00,17.47,13.21,10.43,16.06,23.43,18.81,18.35,22.62,16.32,9.90,17.74,12.94,12.23,14.13,17.39,21.85,13.09,9.56,16.90,9.03,10.43,15.68,10.85,17.11
1928,16.22,12.28,22.98,11.12,8.76,15.35,17.13,12.08,9.66,15.10,23.31,18.29,17.98,22.15,15.85,8.96,16.63,12.37,11.49,13.03,16.40,21.84,12.13,8.48,16.33,7.96,9.31,14.57,9.80,16.30
1929,16.17,12.48,22.91,11.12,9.27,15.31,17.03,12.40,9.85,14.86,23.20,18.43,17.82,22.20,15.82,9.31,16.81,12.50,11.60,13.13,16.34,21.61,12.22,9.01,16.20,8.31,9.71,14.54,10.05,16.36
1930,16.29,13.20,22.88,11.18,10.32,15.33,16.96,13.10,10.40,14.82,23.14,18.90,17.70,22.34,15.84,10.17,17.24,12.85,11.96,13.31,16.30,21.56,12.46,10.17,16.12,9.05,10.53,14.57,10.67,16.57
1931,16.04,12.47,22.86,11.03,9.22,15.21,16.97,12.26,9.73,14.80,23.01,18.41,17.68,22.14,15.77,9.24,16.69,12.44,11.49,12.95,16.16,21.19,12.08,9.04,16.14,8.16,9.58,14.40,9.86,16.22
1932,16.15,12.58,22.52,11.04,9.41,15.34,16.70,12.67,9.94,15.13,22.78,18.41,17.59,22.04,15.65,9.49,17.10,12.49,11.72,13.40,16.53,21.22,12.44,9.20,16.15,8.48,9.86,14.85,10.31,16.51
1933,16.24,12.16,22.35,11.06,9.03,15.48,16.68,12.49,9.68,15.56,22.75,18.09,17.76,21.90,15.62,9.07,17.14,12.28,11.63,13.61,16.89,21.36,12.57,8.68,16.34,8.25,9.64,15.22,10.14,16.57
1934,16.05,12.32,22.54,10.94,9.27,15.19,16.75,12.39,9.68,14.82,22.91,18.27,17.64,21.97,15.58,9.19,16.85,12.34,11.48,13.13,16.26,21.50,12.20,8.99,16.06,8.23,9.75,14.51,9.97,16.27
1935,16.69,13.22,23.32,11.74,10.29,15.96,17.48,13.32,10.52,15.62,23.20,19.05,18.04,22.77,16.40,10.21,17.79,13.10,12.26,14.06,17.12,21.21,13.06,10.01,16.84,9.17,10.66,15.49,10.89,17.07
1936,16.73,12.95,22.77,11.53,10.01,15.93,17.09,13.32,10.43,16.02,22.98,18.73,18.09,22.41,16.08,9.99,17.88,12.88,12.23,14.25,17.42,21.63,13.17,9.69,16.77,9.12,10.56,15.81,10.92,17.13
1937,16.58,13.16,22.89,11.51,10.39,15.84,17.12,13.42,10.54,15.53,22.98,18.88,17.89,22.46,16.10,10.21,17.82,12.95,12.23,14.04,17.08,21.22,13.05,10.12,16.61,9.27,10.77,15.42,10.96,17.06
1938,17.00,13.19,23.08,11.86,10.36,16.27,17.38,13.71,10.74,16.31,23.19,18.96,18.28,22.73,16.41,10.28,18.28,13.15,12.56,14.64,17.77,21.73,13.55,9.92,17.04,9.49,10.97,16.17,11.29,17.48
1939,17.03,13.20,22.95,11.79,10.28,16.24,17.31,13.69,10.73,16.45,23.17,18.92,18.29,22.63,16.33,10.29,18.27,13.11,12.54,14.65,17.83,21.83,13.54,9.98,17.05,9.47,10.85,16.24,11.31,17.46
1940,17.48,13.56,23.44,12.18,10.60,16.62,17.80,13.94,11.06,17.05,23.61,19.26,18.77,23.03,16.77,10.64,18.54,13.42,12.84,14.96,18.29,22.34,13.83,10.32,17.53,9.76,11.10,16.69,11.59,17.78
1941,17.53,13.26,23.24,12.02,10.17,16.67,17.71,13.79,10.91,17.28,23.73,19.00,18.92,22.81,16.58,10.31,18.47,13.26,12.80,15.01,18.45,22.76,13.86,9.88,17.54,9.53,10.81,16.82,11.48,17.81
1942,16.99,12.93,23.30,11.77,9.78,16.14,17.59,13.18,10.41,16.37,23.52,18.82,18.48,22.70,16.42,9.91,17.78,12.95,12.28,14.23,17.59,22.09,13.15,9.52,17.07,8.99,10.32,15.95,10.86,17.17
1943,16.37,12.78,22.67,11.32,9.77,15.48,16.95,12.97,10.18,15.35,22.97,18.62,17.85,22.28,15.86,9.74,17.38,12.68,11.89,13.61,16.71,21.41,12.63,9.47,16.40,8.83,10.27,15.02,10.55,16.66
1944,17.19,13.29,23.12,11.95,10.34,16.48,17.47,13.82,10.93,16.68,23.28,19.02,18.43,22.78,16.48,10.32,18.44,13.26,12.80,14.87,18.09,21.92,13.78,9.96,17.25,9.58,10.98,16.42,11.48,17.76
1945,16.40,12.44,22.71,11.30,9.22,15.55,17.00,12.61,9.87,15.67,22.96,18.43,17.98,22.24,15.86,9.35,17.18,12.51,11.74,13.61,16.88,21.46,12.55,8.99,16.55,8.41,9.74,15.21,10.29,16.58
1946,16.74,12.57,23.26,11.61,9.54,15.91,17.49,12.88,10.05,16.00,23.44,18.57,18.30,22.55,16.27,9.50,17.53,12.71,11.98,13.97,17.26,21.85,12.86,9.23,16.87,8.65,10.09,15.60,10.52,16.86
1947,17.39,13.43,23.80,12.04,10.52,16.48,18.00,13.69,10.85,16.76,23.82,19.19,18.77,23.01,16.76,10.47,18.27,13.31,12.66,14.68,17.99,22.40,13.59,10.31,17.40,9.50,10.91,16.32,11.34,17.56
1948,16.86,12.78,22.98,11.64,9.78,16.01,17.27,13.29,10.37,16.18,23.24,18.67,18.31,22.54,16.22,9.76,17.85,12.87,12.25,14.21,17.48,22.09,13.14,9.35,16.90,9.04,10.49,15.84,10.91,17.13
1949,16.02,12.32,22.39,11.03,9.23,15.11,16.63,12.41,9.66,14.86,22.81,18.27,17.63,22.00,15.56,9.21,16.83,12.30,11.42,13.10,16.20,21.47,12.11,8.94,16.07,8.25,9.69,14.52,10.01,16.17
1950,16.04,12.41,22.62,11.23,9.37,15.32,16.77,12.68,9.87,14.96,22.60,18.37,17.46,22.20,15.79,9.35,17.11,12.47,11.64,13.36,16.45,20.78,12.35,9.02,16.21,8.51,9.96,14.82,10.25,16.38
1951,17.04,13.03,23.81,11.97,9.94,16.24,18.12,13.20,10.49,16.08,23.90,18.94,18.68,22.92,16.76,9.96,17.68,13.05,12.28,13.96,17.26,22.13,12.99,9.59,17.31,9.03,10.52,15.54,10.83,17.09
1952,17.00,13.27,23.64,11.82,10.42,16.11,17.91,13.41,10.62,16.04,23.70,19.05,18.47,22.81,16.59,10.26,17.78,13.10,12.30,13.96,17.20,21.99,12.98,10.08,17.12,9.30,10.88,15.55,10.95,17.08
1953,17.11,12.63,23.64,11.72,9.67,16.13,18.02,13.00,10.18,16.47,24.03,18.53,18.89,22.61,16.54,9.64,17.57,12.73,12.00,13.90,17.32,22.67,12.83,9.28,17.29,8.80,10.26,15.63,10.61,16.84
1954,16.99,13.09,23.86,11.91,10.16,16.17,18.16,13.10,10.43,15.81,24.05,18.95,18.72,22.86,16.73,10.07,17.49,13.01,12.14,13.70,16.98,22.22,12.74,9.91,17.26,9.01,10.49,15.19,10.69,16.92
1955,17.40,13.61,23.69,12.02,11.01,16.42,17.94,14.00,10.95,16.99,23.66,19.33,18.59,22.98,16.71,10.73,18.51,13.36,12.64,14.80,18.11,21.93,13.64,10.73,17.38,9.83,11.46,16.60,11.47,17.48
1956,16.61,12.50,23.26,11.31,9.01,15.68,17.62,12.42,9.82,15.97,23.53,18.34,18.32,22.25,16.08,9.29,17.04,12.41,11.63,13.46,16.91,21.92,12.39,8.71,16.82,8.27,9.53,15.19,10.09,16.42
1957,16.16,12.53,22.82,10.91,9.92,15.12,16.99,12.84,9.88,15.16,22.96,18.25,17.46,22.00,15.72,9.50,17.31,12.29,11.55,13.49,16.53,21.12,12.44,9.58,15.99,8.62,10.40,15.02,10.38,16.34
1958,17.28,13.21,23.72,11.95,10.11,16.30,17.98,13.46,10.66,16.64,23.95,19.01,18.82,22.93,16.71,10.19,18.05,13.13,12.46,14.46,17.80,22.46,13.39,9.77,17.28,9.29,10.60,16.12,11.12,17.33
1959,16.58,12.54,23.07,11.34,9.20,15.67,17.38,12.57,9.95,15.64,23.46,18.37,18.36,22.29,16.07,9.46,17.06,12.47,11.75,13.45,16.81,22.17,12.46,8.88,16.71,8.46,9.65,14.98,10.27,16.60
1960,17.04,13.51,23.73,11.99,10.47,16.18,17.91,13.57,10.82,16.07,23.66,19.21,18.37,23.06,16.77,10.49,18.00,13.24,12.51,14.30,17.49,21.71,13.29,10.23,17.07,9.47,10.85,15.83,11.18,17.33
1961,17.08,13.62,23.01,11.76,10.79,16.07,17.29,13.99,11.06,16.38,23.32,19.18,18.30,22.70,16.18,10.70,18.43,13.36,12.75,14.72,17.76,21.95,13.54,10.37,16.79,9.82,11.32,16.36,11.51,17.51
1962,17.14,14.32,23.82,12.38,11.09,16.34,17.70,14.17,11.69,15.97,23.40,20.06,18.09,23.55,16.85,11.25,18.51,14.14,13.24,14.77,17.63,21.65,13.80,10.85,16.75,10.21,11.52,16.02,11.79,17.86
1963,17.59,13.87,23.56,12.33,10.66,16.72,17.90,14.08,11.47,17.05,23.85,19.52,18.99,23.17,16.67,10.84,18.51,13.76,13.22,14.89,18.11,22.60,13.98,10.28,17.54,10.00,11.20,16.39,11.83,18.07
1964,16.16,12.45,22.50,11.13,9.12,15.41,16.74,12.74,10.00,15.26,22.68,18.16,17.64,22.00,15.56,9.32,17.21,12.42,11.81,13.50,16.62,21.21,12.54,8.69,16.25,8.51,9.82,14.91,10.36,16.62
1965,17.05,13.38,23.42,11.96,9.86,16.16,17.56,13.37,10.86,16.47,23.48,19.16,18.49,22.96,16.42,10.21,17.82,13.31,12.60,14.16,17.44,22.03,13.22,9.43,17.04,9.28,10.48,15.71,11.09,17.33
1966,17.74,14.77,23.80,12.83,11.98,16.99,17.89,14.94,12.31,16.85,23.64,20.25,18.71,23.77,17.04,11.83,19.22,14.41,13.92,15.44,18.34,22.13,14.58,11.64,17.51,10.88,12.39,16.67,12.61,18.61
1967,16.63,12.79,22.50,11.30,9.56,15.64,16.92,13.21,10.48,15.85,23.25,18.44,18.17,22.15,15.56,9.70,17.70,12.75,12.28,14.07,17.10,22.04,13.06,9.00,16.52,8.96,10.25,15.55,10.88,17.06
1968,16.85,13.08,22.93,11.68,10.28,15.91,17.09,13.69,10.70,16.11,23.16,18.78,18.20,22.66,16.09,10.13,18.11,12.99,12.45,14.40,17.37,21.93,13.36,9.79,16.69,9.45,10.89,15.74,11.21,17.28
1969,16.71,13.27,23.51,11.80,9.62,15.77,17.70,12.39,10.56,15.40,23.78,19.02,18.61,22.89,16.48,10.06,16.71,13.19,12.12,13.06,16.36,22.29,12.20,9.62,16.92,8.65,9.77,14.27,10.15,16.64
1970,17.68,14.04,23.62,12.57,10.93,16.94,18.09,13.99,11.68,16.77,24.20,19.76,19.19,23.32,16.89,11.02,18.50,13.98,13.42,14.93,18.11,22.70,14.02,10.78,17.73,10.04,11.30,16.35,11.76,18.30
1971,17.14,13.16,23.07,11.91,9.96,16.35,17.42,13.61,10.90,16.66,23.40,18.99,18.49,22.71,16.30,10.08,18.26,13.21,12.76,14.74,17.92,22.12,13.67,9.58,17.06,9.37,10.66,16.39,11.26,17.73
1972,15.60,11.52,22.22,10.52,8.38,14.73,16.41,12.12,9.13,14.48,22.54,17.50,17.16,21.50,15.14,8.40,16.76,11.70,11.00,13.16,16.17,20.92,12.02,7.91,15.58,7.73,9.15,14.57,9.63,15.94
1973,16.99,13.02,23.33,12.06,9.27,16.30,17.63,13.12,10.68,16.40,23.50,19.00,18.50,22.92,16.55,9.82,17.66,13.26,12.56,14.06,17.43,22.03,13.14,8.81,17.18,8.96,10.09,15.82,10.89,17.32
1974,16.17,12.06,22.88,11.07,9.08,15.18,17.04,12.43,9.40,15.14,23.08,18.05,17.80,22.09,15.80,8.90,16.98,12.20,11.30,13.23,16.50,21.61,12.20,8.60,16.21,8.06,9.76,14.90,9.88,16.10
1975,16.70,12.91,23.01,11.57,9.99,15.80,17.20,13.34,10.33,15.98,23.16,18.70,17.95,22.49,16.07,9.87,17.89,12.86,12.15,14.14,17.44,21.61,13.10,9.43,16.52,9.08,10.66,16.05,10.88,16.97
1976,16.60,12.91,22.92,11.57,9.66,15.78,17.18,12.94,10.26,15.71,23.16,18.72,18.03,22.49,16.10,9.84,17.35,12.97,12.11,13.63,16.97,21.78,12.72,9.29,16.61,8.86,10.21,15.23,10.65,16.77
1977,17.46,13.19,23.85,12.18,9.80,16.56,18.22,13.19,10.66,16.87,24.23,19.14,19.24,23.12,16.96,10.05,17.77,13.37,12.52,14.15,17.72,22.90,13.13,9.52,17.74,9.05,10.37,15.98,10.93,17.31
1978,17.37,13.93,23.62,12.27,10.47,16.57,18.00,13.63,11.40,16.46,23.93,19.59,18.90,23.21,16.80,10.85,18.00,13.81,12.97,14.28,17.54,22.44,13.34,10.25,17.44,9.66,10.90,15.78,11.43,17.57
1979,17.39,14.04,24.01,12.38,11.20,16.59,18.04,14.20,11.45,16.44,23.81,19.76,18.50,23.43,17.03,11.11,18.54,13.82,13.05,14.73,17.98,21.94,13.82,10.92,17.24,10.10,11.64,16.37,11.82,17.76
1980,17.44,13.12,23.77,12.00,10.52,16.55,18.13,13.52,10.57,16.73,24.20,18.82,19.07,22.82,16.77,10.20,18.09,13.03,12.43,14.42,17.94,22.84,13.44,10.11,17.62,9.31,10.98,16.13,11.03,17.40
1981,17.57,13.33,23.86,12.16,10.79,16.71,18.17,14.16,10.87,16.91,24.05,19.14,18.95,23.01,16.93,10.52,18.70,13.32,12.79,15.02,18.33,22.58,14.02,10.34,17.64,9.90,11.44,16.64,11.71,17.79
1982,16.39,11.73,22.97,11.15,9.01,15.66,17.28,12.53,9.28,15.60,23.11,17.76,17.99,21.93,16.06,8.80,17.15,12.03,11.42,13.57,17.07,21.66,12.53,8.58,16.79,8.18,9.69,15.34,10.04,16.41
1983,17.02,12.16,23.12,11.46,9.82,16.08,17.52,13.40,9.63,16.83,23.38,18.04,18.48,22.20,16.34,9.36,18.06,12.29,11.77,14.41,17.99,22.12,13.19,9.25,17.22,8.89,10.60,16.56,10.70,16.85
1984,16.70,12.81,23.45,11.37,9.94,15.68,17.58,12.95,10.01,15.87,23.37,18.72,18.21,22.45,16.47,9.89,17.38,12.70,11.68,13.65,17.05,21.81,12.53,9.72,16.86,8.88,10.35,15.22,10.40,16.48
1985,17.14,13.03,23.51,11.75,10.14,16.29,17.78,13.56,10.48,16.57,23.58,18.92,18.56,22.71,16.65,10.14,18.10,12.94,12.26,14.44,17.83,22.06,13.30,9.77,17.26,9.36,10.69,16.18,11.12,17.26
1986,16.70,12.92,23.32,11.21,10.31,15.54,17.36,13.43,10.19,15.94,23.23,18.76,17.97,22.40,16.27,10.09,17.95,12.60,11.75,14.19,17.35,21.65,12.95,10.00,16.43,9.31,10.80,15.98,10.87,16.68
1987,17.42,13.50,23.88,12.03,10.44,16.50,18.04,13.61,10.98,16.89,23.80,19.38,18.82,23.06,16.98,10.63,18.14,13.36,12.60,14.50,17.96,22.35,13.41,10.26,17.47,9.65,10.86,16.37,11.38,17.48
1988,17.52,12.75,23.77,11.94,9.85,16.60,18.19,13.56,10.53,17.13,24.12,18.82,19.22,22.87,16.91,9.87,18.29,13.01,12.47,14.71,18.16,22.83,13.53,9.39,17.79,9.21,10.58,16.53,11.26,17.54
1989,16.83,12.09,23.12,11.24,10.18,15.89,17.34,13.62,9.80,16.32,23.19,18.13,18.13,22.27,16.27,9.39,18.41,12.21,11.78,14.75,17.94,21.74,13.38,9.70,16.85,8.95,10.93,16.60,10.96,16.97
1990,17.40,12.70,23.75,11.96,9.99,16.57,18.08,13.58,10.39,16.93,23.96,18.81,18.94,22.94,16.95,9.82,18.30,12.93,12.36,14.70,18.20,22.53,13.52,9.63,17.66,9.10,10.66,16.64,11.15,17.48
1991,17.23,13.33,23.51,12.28,10.21,16.50,17.73,13.58,10.84,16.54,23.54,19.16,18.66,23.14,16.83,10.40,18.02,13.29,12.57,14.34,17.79,22.18,13.35,9.90,17.34,9.49,10.71,16.12,11.19,17.40
1992,16.24,11.97,22.55,10.95,8.82,15.24,16.77,12.34,9.52,15.73,22.85,17.90,17.80,21.86,15.63,8.94,16.90,12.05,11.30,13.26,16.77,21.73,12.16,8.32,16.21,8.15,9.48,15.23,9.92,16.16
1993,16.92,12.63,23.52,11.95,9.12,16.04,17.75,12.76,10.15,16.14,23.74,18.72,18.68,22.89,16.64,9.55,17.23,12.79,11.96,13.65,17.18,22.50,12.71,8.85,17.10,8.66,9.67,15.41,10.50,16.80
1994,17.44,13.49,24.04,12.55,10.07,16.64,18.20,13.48,10.88,16.73,23.96,19.48,18.98,23.49,17.22,10.41,17.89,13.50,12.67,14.31,17.84,22.49,13.41,9.89,17.59,9.43,10.52,16.08,11.21,17.50
1995,17.56,13.72,23.50,12.31,10.73,16.76,17.79,14.24,11.24,17.20,23.72,19.39,18.75,23.11,16.74,10.84,18.75,13.53,12.96,15.01,18.46,22.30,13.85,10.25,17.56,10.04,11.35,17.06,11.83,17.80
1996,17.33,13.86,23.99,12.48,10.75,16.54,18.03,13.93,11.12,16.47,23.71,19.63,18.56,23.48,17.12,10.87,18.22,13.61,12.72,14.42,17.78,22.01,13.47,10.50,17.33,9.92,11.17,16.20,11.57,17.50
1997,17.56,13.47,23.62,12.42,10.27,16.90,17.97,13.90,11.16,17.23,23.75,19.29,18.92,23.20,16.91,10.54,18.45,13.53,12.98,14.84,18.40,22.24,13.78,9.86,17.78,9.75,10.90,16.78,11.58,17.82
1998,18.33,14.39,24.71,13.27,11.30,17.59,19.10,14.63,11.88,17.52,24.86,20.18,19.92,24.15,17.90,11.44,19.06,14.28,13.57,15.35,18.75,23.22,14.32,10.94,18.66,10.58,11.85,17.10,12.27,18.36
1999,18.43,14.50,24.89,13.34,11.39,17.59,19.21,14.71,11.92,17.84,24.90,20.29,19.92,24.29,18.00,11.58,19.14,14.36,13.59,15.43,18.91,23.18,14.38,11.13,18.61,10.65,11.85,17.27,12.32,18.38
2000,18.11,14.16,24.37,12.97,11.01,17.34,18.69,14.45,11.64,17.58,24.46,19.92,19.54,23.84,17.56,11.22,18.90,14.03,13.35,15.21,18.78,22.90,14.18,10.66,18.28,10.34,11.57,17.17,12.07,18.20
2001,18.49,14.33,24.65,13.19,11.59,17.67,18.97,14.86,11.91,18.05,24.68,20.36,19.91,24.10,18.00,11.51,19.43,14.44,13.63,15.73,19.22,23.28,14.59,11.28,18.70,10.54,12.09,17.55,12.42,18.56
2002,18.14,13.58,24.34,12.67,10.72,17.31,18.71,14.35,11.24,17.71,24.61,19.53,19.78,23.59,17.56,10.72,18.98,13.73,13.17,15.37,18.86,23.21,14.27,10.31,18.40,9.90,11.36,17.25,11.99,18.23
2003,17.85,13.75,24.36,12.49,10.66,16.84,18.62,13.93,11.21,17.13,24.59,19.78,19.61,23.52,17.43,10.80,18.37,13.76,12.85,14.63,18.17,23.07,13.63,10.41,18.01,9.71,11.10,16.44,11.55,17.70
2004,18.12,13.85,24.17,12.46,10.91,17.00,18.66,14.32,11.39,17.57,24.87,19.81,19.98,23.41,17.21,10.93,18.87,13.82,13.04,15.10,18.55,23.53,14.04,10.52,18.10,9.99,11.50,16.97,11.93,17.95
2005,17.89,13.76,23.95,12.44,10.90,16.94,18.34,14.44,11.39,17.25,24.42,19.76,19.48,23.40,17.15,10.90,19.02,13.73,13.01,15.30,18.56,22.95,14.12,10.53,17.91,10.07,11.51,16.97,12.00,18.02
2006,18.17,13.92,24.23,12.56,10.99,17.03,18.49,14.50,11.60,17.79,24.59,19.96,19.80,23.59,17.29,11.02,19.10,13.92,13.20,15.43,18.81,23.52,14.30,10.66,17.97,10.12,11.58,17.22,12.14,18.15
2007,17.75,13.64,24.24,12.28,10.59,16.62,18.46,14.17,11.20,17.01,24.51,19.65,19.43,23.36,17.16,10.65,18.68,13.57,12.74,14.89,18.09,23.13,13.82,10.12,17.68,9.82,11.25,16.48,11.82,17.65
2008,17.93,13.84,24.32,12.55,10.88,16.89,18.53,14.11,11.22,17.24,24.47,19.81,19.62,23.60,17.45,10.85,18.73,13.77,12.84,15.05,18.34,23.26,13.84,10.53,18.06,9.83,11.37,16.60,11.63,17.77
2009,18.07,13.73,24.45,12.58,10.84,16.95,18.69,14.21,11.19,17.45,24.72,19.81,19.80,23.62,17.49,10.79,18.77,13.74,12.88,15.05,18.42,23.61,13.89,10.47,18.15,9.91,11.42,16.74,11.78,17.82
2010,18.97,15.25,25.30,13.80,12.48,18.16,19.44,15.67,12.76,18.27,25.07,21.21,20.20,24.81,18.52,12.38,20.17,15.11,14.35,16.43,19.63,23.68,15.36,12.21,19.02,11.43,12.92,17.86,13.26,19.27
