Variable:,tas
,Yemen,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden,Abyan,"Al Bayda","Al Dhale'e","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz
1973,23.29,16.24,24.13,22.40,17.88,29.56,25.17,18.20,19.33,28.17,23.01,23.78,22.77,17.27,18.92,22.99,19.12,25.99,21.47,18.27,23.86,25.24
1974,23.01,15.65,24.05,21.77,17.29,28.76,24.53,17.56,18.62,27.57,22.65,23.84,22.17,16.78,18.27,22.50,18.43,25.22,20.96,17.90,23.39,24.50
1975,23.09,15.82,24.09,21.96,17.45,28.94,24.67,17.71,18.80,27.77,22.74,23.82,22.37,16.91,18.45,22.66,18.61,25.41,21.09,17.98,23.53,24.71
1976,23.24,16.00,24.19,22.18,17.65,29.26,24.91,17.94,19.06,28.00,22.82,24.01,22.57,17.07,18.68,22.82,18.88,25.70,21.25,18.09,23.67,24.98
1977,23.34,15.97,24.38,22.14,17.62,29.25,24.91,17.92,19.03,27.93,22.88,24.23,22.51,17.05,18.65,22.79,18.85,25.69,21.25,18.11,23.70,24.96
1978,23.22,15.98,24.19,22.16,17.62,29.21,24.84,17.88,19.02,27.97,22.85,23.98,22.54,17.07,18.64,22.82,18.83,25.66,21.21,18.14,23.61,24.95
1979,23.28,16.06,24.24,22.30,17.71,29.33,24.86,17.93,19.12,28.13,22.87,24.05,22.68,17.17,18.76,22.95,18.97,25.79,21.24,18.23,23.59,25.12
1980,23.47,16.31,24.39,22.59,17.95,29.74,25.17,18.24,19.46,28.42,23.01,24.16,22.94,17.37,19.05,23.18,19.30,26.17,21.45,18.38,23.83,25.47
1981,23.28,15.75,24.46,21.87,17.38,28.72,24.55,17.57,18.62,27.69,22.83,24.30,22.30,16.91,18.33,22.64,18.46,25.20,21.05,18.05,23.53,24.53
1982,23.28,15.80,24.37,21.96,17.44,29.05,24.83,17.80,18.86,27.74,22.83,24.20,22.33,16.88,18.45,22.61,18.64,25.50,21.18,17.95,23.70,24.76
1983,23.20,15.86,24.23,22.04,17.50,29.14,24.84,17.83,18.93,27.84,22.79,23.96,22.40,16.93,18.54,22.67,18.74,25.59,21.17,17.96,23.66,24.87
1984,22.95,15.70,23.98,21.88,17.32,28.77,24.35,17.45,18.62,27.73,22.60,23.74,22.30,16.84,18.33,22.61,18.50,25.27,20.85,17.96,23.20,24.64
1985,23.24,15.83,24.32,21.98,17.47,28.92,24.69,17.71,18.78,27.80,22.83,24.11,22.39,16.96,18.46,22.72,18.62,25.40,21.11,18.10,23.57,24.71
1986,23.23,15.85,24.31,22.00,17.49,28.97,24.71,17.73,18.83,27.81,22.79,24.12,22.40,16.96,18.48,22.70,18.66,25.45,21.13,18.03,23.56,24.75
1987,23.55,15.95,24.71,22.08,17.60,29.17,25.00,17.95,18.99,27.89,23.02,24.60,22.49,17.06,18.60,22.78,18.78,25.62,21.34,18.16,23.87,24.87
1988,23.47,15.88,24.62,22.01,17.54,29.12,25.00,17.94,18.96,27.78,22.98,24.48,22.39,16.97,18.53,22.66,18.70,25.56,21.32,18.07,23.87,24.78
1989,23.06,15.56,24.17,21.64,17.21,28.73,24.59,17.55,18.57,27.44,22.67,23.95,22.05,16.68,18.18,22.37,18.34,25.16,20.97,17.80,23.51,24.40
1990,23.60,16.07,24.72,22.22,17.72,29.23,25.07,18.04,19.08,28.00,23.11,24.59,22.61,17.18,18.71,22.89,18.88,25.70,21.44,18.27,23.95,24.97
1991,23.35,16.01,24.36,22.21,17.65,29.30,24.94,17.95,19.08,28.03,22.91,24.15,22.58,17.11,18.69,22.87,18.90,25.75,21.27,18.17,23.74,25.05
1992,23.15,15.70,24.21,21.82,17.35,29.04,24.81,17.75,18.80,27.60,22.73,23.98,22.20,16.77,18.36,22.46,18.55,25.46,21.10,17.81,23.63,24.66
1993,23.36,15.84,24.49,21.97,17.49,28.94,24.74,17.75,18.80,27.80,22.84,24.46,22.39,16.97,18.47,22.71,18.62,25.41,21.16,18.10,23.64,24.72
1994,23.41,15.93,24.53,22.07,17.57,29.09,24.81,17.82,18.91,27.89,22.91,24.42,22.48,17.04,18.55,22.78,18.73,25.54,21.22,18.14,23.66,24.84
1995,23.47,16.09,24.51,22.23,17.74,29.35,25.07,18.06,19.14,28.01,23.03,24.36,22.60,17.16,18.74,22.88,18.92,25.78,21.42,18.25,23.87,25.02
1996,23.42,16.10,24.44,22.27,17.73,29.33,24.99,18.01,19.12,28.10,22.98,24.24,22.68,17.19,18.76,22.95,18.95,25.79,21.34,18.27,23.76,25.08
1997,23.47,16.06,24.54,22.24,17.70,29.27,24.99,18.00,19.10,28.05,22.97,24.38,22.63,17.12,18.73,22.88,18.91,25.74,21.35,18.19,23.82,25.04
1998,23.99,16.44,25.16,22.59,18.07,29.64,25.40,18.38,19.47,28.41,23.34,25.14,22.98,17.51,19.09,23.26,19.27,26.10,21.72,18.56,24.25,25.40
1999,23.54,16.15,24.67,22.26,17.78,29.11,24.84,17.91,19.02,28.11,23.08,24.53,22.72,17.33,18.74,23.07,18.88,25.61,21.36,18.46,23.70,24.94
2000,23.49,16.06,24.58,22.25,17.70,29.28,24.93,17.96,19.09,28.08,22.95,24.47,22.64,17.16,18.72,22.93,18.92,25.75,21.29,18.29,23.73,25.06
2001,23.58,16.11,24.71,22.31,17.75,29.31,24.94,17.99,19.12,28.14,23.01,24.60,22.68,17.22,18.78,22.99,18.97,25.79,21.35,18.36,23.77,25.12
2002,23.70,16.39,24.72,22.70,18.04,29.80,25.24,18.32,19.55,28.51,23.10,24.59,23.02,17.43,19.16,23.23,19.41,26.26,21.54,18.50,23.91,25.60
2003,23.81,16.35,24.95,22.57,17.98,29.67,25.26,18.29,19.45,28.39,23.14,24.85,22.93,17.40,19.06,23.16,19.28,26.13,21.55,18.49,24.00,25.43
2004,23.61,16.18,24.71,22.40,17.82,29.46,25.04,18.07,19.23,28.24,23.02,24.64,22.78,17.28,18.87,23.06,19.09,25.92,21.38,18.37,23.81,25.25
2005,23.60,16.24,24.66,22.51,17.88,29.52,25.07,18.13,19.31,28.36,23.02,24.54,22.89,17.34,18.96,23.15,19.17,26.00,21.40,18.41,23.81,25.34
2006,23.67,16.19,24.81,22.41,17.83,29.51,25.07,18.11,19.26,28.25,23.04,24.70,22.79,17.29,18.89,23.06,19.09,25.95,21.41,18.35,23.84,25.26
2007,23.74,16.12,24.97,22.33,17.77,29.36,25.04,18.06,19.18,28.15,23.04,24.96,22.71,17.23,18.80,23.00,18.99,25.83,21.38,18.33,23.86,25.13
2008,23.33,16.08,24.33,22.32,17.72,29.24,24.77,17.89,19.06,28.16,22.92,24.13,22.73,17.24,18.76,23.03,18.95,25.72,21.24,18.33,23.55,25.08
2009,23.86,16.55,24.90,22.89,18.19,30.00,25.38,18.46,19.71,28.74,23.20,24.78,23.23,17.61,19.32,23.44,19.57,26.44,21.63,18.65,24.01,25.78
2010,23.88,16.42,25.03,22.71,18.05,29.48,25.06,18.13,19.33,28.63,23.23,25.01,23.16,17.63,19.08,23.52,19.27,26.00,21.49,18.83,23.90,25.45
2011,23.65,16.23,24.76,22.47,17.86,29.46,25.00,18.05,19.25,28.35,23.07,24.63,22.87,17.36,18.91,23.17,19.13,25.94,21.38,18.46,23.80,25.31
2012,23.62,16.31,24.67,22.56,17.93,29.47,25.00,18.09,19.28,28.45,23.08,24.55,22.97,17.45,18.98,23.29,19.19,25.95,21.40,18.60,23.77,25.35
2013,23.58,16.45,24.50,22.78,18.09,29.84,25.20,18.30,19.57,28.62,23.08,24.28,23.12,17.51,19.21,23.33,19.45,26.30,21.51,18.53,23.85,25.67
2014,23.68,16.31,24.75,22.56,17.95,29.66,25.18,18.22,19.41,28.40,23.08,24.61,22.93,17.41,19.02,23.19,19.26,26.10,21.48,18.47,23.89,25.41
2015,24.03,16.62,25.14,22.96,18.26,30.09,25.48,18.55,19.80,28.81,23.27,25.07,23.30,17.67,19.40,23.52,19.65,26.52,21.71,18.73,24.15,25.88
2016,23.75,16.57,24.68,22.91,18.22,30.02,25.38,18.47,19.72,28.78,23.18,24.54,23.27,17.63,19.34,23.50,19.60,26.46,21.64,18.66,24.00,25.82
2017,23.83,16.48,24.88,22.78,18.12,29.87,25.31,18.38,19.62,28.64,23.17,24.84,23.15,17.56,19.23,23.39,19.47,26.31,21.60,18.63,23.99,25.65
2018,23.59,16.36,24.59,22.61,17.99,29.37,24.97,18.07,19.26,28.48,23.13,24.44,23.04,17.54,19.01,23.38,19.19,25.90,21.44,18.72,23.80,25.32
2019,24.02,16.35,25.29,22.59,18.00,29.64,25.28,18.29,19.44,28.42,23.19,25.31,22.96,17.42,19.06,23.22,19.26,26.09,21.57,18.49,24.10,25.40
2020,23.69,16.07,24.91,22.26,17.71,29.26,25.00,17.99,19.09,28.10,23.02,24.86,22.66,17.19,18.74,22.95,18.92,25.74,21.36,18.27,23.90,25.06
